Training Starts
Iter 1 of 468 loss 2.2088, Img -0.0000,  Label 0.265130, Reg: 0.000000, SegX: 0.981362,SegY: 0.962310
Iter 2 of 468 loss 2.2508, Img -0.0000,  Label 0.292957, Reg: 0.000313, SegX: 0.984962,SegY: 0.972550
Iter 3 of 468 loss 2.1075, Img -0.0000,  Label 0.182584, Reg: 0.000267, SegX: 0.968122,SegY: 0.956521
Iter 4 of 468 loss 2.1402, Img -0.0000,  Label 0.188988, Reg: 0.000194, SegX: 0.979013,SegY: 0.972015
Iter 5 of 468 loss 2.1019, Img -0.0000,  Label 0.177746, Reg: 0.000462, SegX: 0.968550,SegY: 0.955116
Iter 6 of 468 loss 2.1379, Img -0.0000,  Label 0.185076, Reg: 0.000438, SegX: 0.978853,SegY: 0.973503
Iter 7 of 468 loss 2.0906, Img -0.0000,  Label 0.153712, Reg: 0.000616, SegX: 0.974726,SegY: 0.961542
Iter 8 of 468 loss 2.0633, Img -0.0000,  Label 0.151172, Reg: 0.000960, SegX: 0.962646,SegY: 0.948538
Iter 9 of 468 loss 2.0920, Img -0.0000,  Label 0.164311, Reg: 0.001324, SegX: 0.973797,SegY: 0.952618
Iter 10 of 468 loss 2.1551, Img -0.0000,  Label 0.191624, Reg: 0.001914, SegX: 0.985260,SegY: 0.976340
Iter 11 of 468 loss 2.1082, Img -0.0000,  Label 0.164805, Reg: 0.002414, SegX: 0.975942,SegY: 0.965020
Iter 12 of 468 loss 2.1030, Img -0.0000,  Label 0.168525, Reg: 0.002875, SegX: 0.972369,SegY: 0.959201
Iter 13 of 468 loss 2.2451, Img -0.0000,  Label 0.300281, Reg: 0.002861, SegX: 0.981063,SegY: 0.960895
Iter 14 of 468 loss 2.0592, Img -0.0000,  Label 0.157117, Reg: 0.003077, SegX: 0.960199,SegY: 0.938761
Iter 15 of 468 loss 1.9185, Img -0.0000,  Label 0.125145, Reg: 0.002877, SegX: 0.919601,SegY: 0.870892
Iter 16 of 468 loss 2.0414, Img -0.0000,  Label 0.154566, Reg: 0.002749, SegX: 0.955882,SegY: 0.928208
Iter 17 of 468 loss 2.0874, Img -0.0000,  Label 0.157794, Reg: 0.003253, SegX: 0.972070,SegY: 0.954242
Iter 18 of 468 loss 2.0399, Img -0.0000,  Label 0.149220, Reg: 0.003414, SegX: 0.950985,SegY: 0.936306
Iter 19 of 468 loss 1.9622, Img -0.0000,  Label 0.107185, Reg: 0.002938, SegX: 0.936202,SegY: 0.915911
Iter 20 of 468 loss 1.9692, Img -0.0000,  Label 0.121712, Reg: 0.002577, SegX: 0.935080,SegY: 0.909874
Iter 21 of 468 loss 2.0045, Img -0.0000,  Label 0.128537, Reg: 0.002220, SegX: 0.942562,SegY: 0.931144
Iter 22 of 468 loss 2.0377, Img -0.0000,  Label 0.131160, Reg: 0.001848, SegX: 0.960122,SegY: 0.944563
Iter 23 of 468 loss 2.0495, Img -0.0000,  Label 0.142148, Reg: 0.001839, SegX: 0.959585,SegY: 0.945946
Iter 24 of 468 loss 1.8609, Img -0.0000,  Label 0.109958, Reg: 0.001628, SegX: 0.891168,SegY: 0.858113
Iter 25 of 468 loss 2.1226, Img -0.0000,  Label 0.214408, Reg: 0.001728, SegX: 0.956979,SegY: 0.949521
Iter 26 of 468 loss 1.9715, Img -0.0000,  Label 0.198088, Reg: 0.001937, SegX: 0.911563,SegY: 0.859912
Iter 27 of 468 loss 1.8923, Img -0.0000,  Label 0.111133, Reg: 0.001930, SegX: 0.905011,SegY: 0.874274
Iter 28 of 468 loss 2.0873, Img -0.0000,  Label 0.166758, Reg: 0.002008, SegX: 0.966416,SegY: 0.952146
Iter 29 of 468 loss 2.0711, Img -0.0000,  Label 0.177389, Reg: 0.002448, SegX: 0.944938,SegY: 0.946338
Iter 30 of 468 loss 1.9244, Img -0.0000,  Label 0.121847, Reg: 0.002554, SegX: 0.919277,SegY: 0.880762
Iter 31 of 468 loss 1.9894, Img -0.0000,  Label 0.131990, Reg: 0.002726, SegX: 0.931831,SegY: 0.922847
Iter 32 of 468 loss 2.0818, Img -0.0000,  Label 0.164288, Reg: 0.002627, SegX: 0.963796,SegY: 0.951057
Iter 33 of 468 loss 1.9630, Img -0.0000,  Label 0.103137, Reg: 0.002573, SegX: 0.940285,SegY: 0.917036
Iter 34 of 468 loss 2.1062, Img -0.0000,  Label 0.173632, Reg: 0.002697, SegX: 0.970249,SegY: 0.959613
Iter 35 of 468 loss 2.0524, Img -0.0000,  Label 0.185988, Reg: 0.002647, SegX: 0.945092,SegY: 0.918717
Iter 36 of 468 loss 2.2346, Img -0.0000,  Label 0.387893, Reg: 0.003321, SegX: 0.963835,SegY: 0.879589
Iter 37 of 468 loss 1.9952, Img -0.0000,  Label 0.148799, Reg: 0.003585, SegX: 0.929596,SegY: 0.913243
Iter 38 of 468 loss 1.8812, Img -0.0000,  Label 0.120501, Reg: 0.004171, SegX: 0.889981,SegY: 0.866506
Iter 39 of 468 loss 1.9838, Img -0.0000,  Label 0.149538, Reg: 0.004314, SegX: 0.925924,SegY: 0.904037
Iter 40 of 468 loss 2.2004, Img -0.0000,  Label 0.342282, Reg: 0.004494, SegX: 0.938664,SegY: 0.914915
Iter 41 of 468 loss 1.8350, Img -0.0000,  Label 0.128273, Reg: 0.005043, SegX: 0.866547,SegY: 0.835089
Iter 42 of 468 loss 2.1163, Img -0.0000,  Label 0.249863, Reg: 0.005889, SegX: 0.935403,SegY: 0.925185
Iter 43 of 468 loss 1.9163, Img -0.0000,  Label 0.171878, Reg: 0.005272, SegX: 0.876178,SegY: 0.862934
Iter 44 of 468 loss 2.3477, Img -0.0000,  Label 0.443021, Reg: 0.004037, SegX: 0.961222,SegY: 0.939405
Iter 45 of 468 loss 1.8763, Img -0.0000,  Label 0.151957, Reg: 0.004529, SegX: 0.873735,SegY: 0.846059
Iter 46 of 468 loss 2.2632, Img -0.0000,  Label 0.377005, Reg: 0.005276, SegX: 0.949032,SegY: 0.931901
Iter 47 of 468 loss 1.7884, Img -0.0000,  Label 0.159946, Reg: 0.005136, SegX: 0.823886,SegY: 0.799468
Iter 48 of 468 loss 2.0015, Img -0.0000,  Label 0.165866, Reg: 0.004644, SegX: 0.932652,SegY: 0.898330
